address,incidentCount,lat,lng
"1 AV & WHOOP UP DR, LETHBRIDGE, AB, Canada",2,49.6870304,-112.8656061
"1 AV, LETHBRIDGE, AB, Canada",2,49.698021,-112.8385301
"1 AVE & 2A ST, LETHBRIDGE, AB, Canada",1,49.6956181,-112.8451067
"1 AVE & 6 AVE, LETHBRIDGE, AB, Canada",1,49.6975486,-112.7779429
"1 AVE & CROWSNEST TR, LETHBRIDGE, AB, Canada",1,49.69834969999999,-112.7837584
"1 AVE & MAYOR MAGRATH DRIVE DR, LETHBRIDGE, AB, Canada",1,49.6790946,-112.8024808
"1 AVENUE, LETHBRIDGE, AB, Canada",1,49.698021,-112.8385301
"1 BEAVERBROOK BY, LETHBRIDGE, AB, Canada",1,49.6956181,-112.8451067
"1 BEAVERBROOK RD, LETHBRIDGE, AB, Canada",17,49.7290924,-112.8210866
"1 BEAVERPOND CT, LETHBRIDGE, AB, Canada",13,49.7290634,-112.8200022
"1 BEAVERRUN PL, LETHBRIDGE, AB, Canada",4,49.7298039,-112.8183839
"1 BERKELEY PL, LETHBRIDGE, AB, Canada",119,49.67661,-112.8713872
"1 BERKLEY PL, LETHBRIDGE, AB, Canada",1,49.67661,-112.8713872
"1 BLACKFOOT BD, LETHBRIDGE, AB, Canada",29,49.6796737,-112.8960034
"1 BLACKFOOT CI, LETHBRIDGE, AB, Canada",12,49.6796737,-112.8960034
"1 BLACKFOOT CR, LETHBRIDGE, AB, Canada",7,49.678962,-112.8978181
"1 BLACKFOOT CT, LETHBRIDGE, AB, Canada",5,49.6789172,-112.8984947
"1 BLACKFOOT RD, LETHBRIDGE, AB, Canada",19,49.6792795,-112.8980019
"1 BLACKWOLF BY, LETHBRIDGE, AB, Canada",3,49.6956181,-112.8451067
"1 BLACKWOLF PS, LETHBRIDGE, AB, Canada",12,49.7394749,-112.8090567
"1 BLUEFOX BD, LETHBRIDGE, AB, Canada",5,49.7296893,-112.8231774
"1 BLUEFOX BY, LETHBRIDGE, AB, Canada",15,49.6956181,-112.8451067
"1 BLUEFOX PL, LETHBRIDGE, AB, Canada",2,49.7304127,-112.8218187
"1 BOTTERIL BOTTOM RD, LETHBRIDGE, AB, Canada",17,49.68583959999999,-112.8534161
"1 BROCK PL, LETHBRIDGE, AB, Canada",13,49.6713613,-112.8693864
"1 CAMBRIDGE RD, LETHBRIDGE, AB, Canada",4,49.6685556,-112.8844745
"1 CANYON BD, LETHBRIDGE, AB, Canada",7,49.6526194,-112.8462969
"1 CANYON CL, LETHBRIDGE, AB, Canada",1,49.65165349999999,-112.839104
"1 CANYON CT, LETHBRIDGE, AB, Canada",12,49.64799010000001,-112.8311067
"1 CANYON ESTATES LN, LETHBRIDGE, AB, Canada",4,49.6541647,-112.8535631
"1 CANYON MEADOWS BN, LETHBRIDGE, AB, Canada",3,49.6526194,-112.8462969
"1 CANYONCREST CT, LETHBRIDGE, AB, Canada",3,49.6531196,-112.8450637
"1 CANYONCREST WY, LETHBRIDGE, AB, Canada",1,49.65537639999999,-112.8418405
"1 CARLETON PL, LETHBRIDGE, AB, Canada",6,49.6742814,-112.8687821
"1 CARLETON RD, LETHBRIDGE, AB, Canada",20,49.67176809999999,-112.8703076
"1 CAYUGA CR, LETHBRIDGE, AB, Canada",27,49.6812558,-112.8860558
"1 CAYUGA PL, LETHBRIDGE, AB, Canada",6,49.6807418,-112.885415
"1 CHILCOTIN CR, LETHBRIDGE, AB, Canada",6,49.6829004,-112.894114
"1 CHILCOTIN LN, LETHBRIDGE, AB, Canada",15,49.6828406,-112.8924783
"1 CHILCOTIN RD, LETHBRIDGE, AB, Canada",45,49.6827267,-112.8924519
"1 CHILCOTIN WY, LETHBRIDGE, AB, Canada",7,49.6823881,-112.8966532
"1 CHINOOK HT, LETHBRIDGE, AB, Canada",1,49.6707381,-112.8161868
"1 CHIPPEWA CR, LETHBRIDGE, AB, Canada",8,49.6810542,-112.8828491
"1 COACHWOOD PT, LETHBRIDGE, AB, Canada",3,49.68812940000001,-112.8812599
"1 COACHWOOD RD, LETHBRIDGE, AB, Canada",7,49.68869249999999,-112.8833996
"1 COALBANKS GT, LETHBRIDGE, AB, Canada",3,49.669885,-112.903861
"1 COALBANKS LK, LETHBRIDGE, AB, Canada",11,49.669885,-112.903861
"1 COLUMBIA BD, LETHBRIDGE, AB, Canada",18,49.6773239,-112.8717781
"1 COLUMBIA BY, LETHBRIDGE, AB, Canada",9,49.6956181,-112.8451067
"1 COLUMBIA PL, LETHBRIDGE, AB, Canada",22,49.66621929999999,-112.8856564
"1 CONCORDIA PL, LETHBRIDGE, AB, Canada",4,49.6731,-112.8713807
"1 COUGAR BY, LETHBRIDGE, AB, Canada",5,49.6956181,-112.8451067
"1 COUGAR CV, LETHBRIDGE, AB, Canada",88,49.7334866,-112.8222595
"1 COUGAR RD, LETHBRIDGE, AB, Canada",4,49.7313523,-112.8217121
"1 COULEE TR, LETHBRIDGE, AB, Canada",6,49.6956181,-112.8451067
"1 COULEESPRINGS PL, LETHBRIDGE, AB, Canada",2,49.6594568,-112.7811768
"1 COUNTRY MEADOWS BD, LETHBRIDGE, AB, Canada",7,49.6955375,-112.90963
"1 COWICHAN CT, LETHBRIDGE, AB, Canada",13,49.6836265,-112.8989279
"1 CROCUS BY, LETHBRIDGE, AB, Canada",3,49.6956181,-112.8451067
"1 DAKOTA RD, LETHBRIDGE, AB, Canada",11,49.68481430000001,-112.8857818
"1 DALHOUSIE CT, LETHBRIDGE, AB, Canada",42,49.6707028,-112.8705793
"1 DALHOUSIE RD, LETHBRIDGE, AB, Canada",14,49.671095,-112.8712
"1 DOROTHY GENTLEMAN CR, LETHBRIDGE, AB, Canada",6,49.7354985,-112.8260674
"1 EAGLE RD, LETHBRIDGE, AB, Canada",53,49.72538249999999,-112.8080786
"1 EDGEWOOD BD, LETHBRIDGE, AB, Canada",5,49.6908046,-112.8849446
"1 EDGEWOOD CR, LETHBRIDGE, AB, Canada",9,49.69032929999999,-112.8864839
"1 EDGEWOOD PL, LETHBRIDGE, AB, Canada",1,49.6901245,-112.8822528
"1 EDINBURGH WY, LETHBRIDGE, AB, Canada",7,49.693191,-112.9024411
"1 ELM CR, LETHBRIDGE, AB, Canada",10,49.6754826,-112.7836863
"1 ERMINEBEND PL, LETHBRIDGE, AB, Canada",2,49.7292943,-112.8111097
"1 ERMINEDALE BD, LETHBRIDGE, AB, Canada",1,49.730233,-112.817141
"1 ERMINEDALE BY, LETHBRIDGE, AB, Canada",12,49.730233,-112.817141
"1 ERMINEDALE PL, LETHBRIDGE, AB, Canada",2,49.730233,-112.817141
"1 ERMINEGLEN PL, LETHBRIDGE, AB, Canada",3,49.73128120000001,-112.8148977
"1 ERMINEGLEN RD, LETHBRIDGE, AB, Canada",1,49.7309099,-112.8174468
"1 ERMINERUN PL, LETHBRIDGE, AB, Canada",6,49.7299005,-112.8138799
"1 ERMINEVIEW PL, LETHBRIDGE, AB, Canada",1,49.7309016,-112.812018
"1 ERMINEVIEW RD, LETHBRIDGE, AB, Canada",5,49.7294051,-112.8122675
"1 ERMINEVIEW WY, LETHBRIDGE, AB, Canada",8,49.7287935,-112.8122516
"1 ETON RD, LETHBRIDGE, AB, Canada",1,49.6700917,-112.8852142
"1 FAIRMONT BD, LETHBRIDGE, AB, Canada",26,49.6665049,-112.7935001
"1 FAIRMONT BY, LETHBRIDGE, AB, Canada",3,49.6956181,-112.8451067
"1 FAIRMONT CR, LETHBRIDGE, AB, Canada",4,49.6623682,-112.7905208
"1 FAIRMONT CT, LETHBRIDGE, AB, Canada",2,49.6656263,-112.7811394
"1 FAIRMONT CV, LETHBRIDGE, AB, Canada",2,49.665235,-112.7817683
"1 FAIRMONT GARDEN RD, LETHBRIDGE, AB, Canada",4,49.6627312,-112.7833093
"1 FAIRMONT GT, LETHBRIDGE, AB, Canada",10,49.665235,-112.7817683
"1 FAIRMONT LK, LETHBRIDGE, AB, Canada",1,49.665235,-112.7817683
"1 FAIRMONT PARK LN, LETHBRIDGE, AB, Canada",8,49.66305029999999,-112.7898769
"1 FAIRMONT PL, LETHBRIDGE, AB, Canada",3,49.6623475,-112.7873781
"1 FAIRMONT PT, LETHBRIDGE, AB, Canada",13,49.6666779,-112.7851322
"1 FAIRMONT RD, LETHBRIDGE, AB, Canada",10,49.6602958,-112.784272
"1 FAIRMONT TE, LETHBRIDGE, AB, Canada",1,49.665235,-112.7817683
"1 FIRELIGHT WY, LETHBRIDGE, AB, Canada",1,49.6700446,-112.8972976
"1 FOXBEND CR, LETHBRIDGE, AB, Canada",140,49.7286374,-112.8153883
"1 GRAND RIVER BD, LETHBRIDGE, AB, Canada",6,49.6596637,-112.8692119
"1 GREAT BEAR BD, LETHBRIDGE, AB, Canada",1,49.6956181,-112.8451067
"1 GREENVIEW CL, LETHBRIDGE, AB, Canada",2,49.7197524,-112.8036932
"1 GREYWOLF RD, LETHBRIDGE, AB, Canada",4,49.7408255,-112.8108732
"1 GRIZZLY TE, LETHBRIDGE, AB, Canada",8,49.7290541,-112.8084957
"1 HARU MORIYAMA RD, LETHBRIDGE, AB, Canada",13,49.7356954,-112.8287471
"1 HARVARD CR, LETHBRIDGE, AB, Canada",19,49.6745592,-112.8883991
"1 HAWTHORNE PL, LETHBRIDGE, AB, Canada",25,49.7225214,-112.8055574
"1 HAWTHORNE RD, LETHBRIDGE, AB, Canada",2,49.7224538,-112.805736
"1 HEATHER PL, LETHBRIDGE, AB, Canada",2,49.7218652,-112.8088308
"1 HEATHER RD, LETHBRIDGE, AB, Canada",12,49.7214702,-112.8077505
"1 HERITAGE BD, LETHBRIDGE, AB, Canada",18,49.69351289999999,-112.8884476
"1 HERITAGE CI, LETHBRIDGE, AB, Canada",2,49.6930646,-112.8807043
"1 HERITAGE CL, LETHBRIDGE, AB, Canada",2,49.6924731,-112.8870502
"1 HERITAGE CR, LETHBRIDGE, AB, Canada",7,49.6937903,-112.889285
"1 HERITAGE CT, LETHBRIDGE, AB, Canada",9,49.69651169999999,-112.8923958
"1 HERITAGE GR, LETHBRIDGE, AB, Canada",4,49.6966816,-112.8830142
"1 HERITAGE LN, LETHBRIDGE, AB, Canada",11,49.6966816,-112.8830142
"1 HERITAGE PL, LETHBRIDGE, AB, Canada",2,49.6920747,-112.8812925
"1 HERITAGE PT, LETHBRIDGE, AB, Canada",4,49.6944301,-112.8785263
"1 HERITAGE RD, LETHBRIDGE, AB, Canada",9,49.6929729,-112.8867269
"1 HIGHLANDS PL, LETHBRIDGE, AB, Canada",44,49.6972746,-112.8989334
"1 HONEYSUCKLE RD, LETHBRIDGE, AB, Canada",19,49.7209825,-112.807466
"1 HW & 58 ST, LETHBRIDGE, AB, Canada",1,49.6543576,-112.7564953
"1 HW & OLDMAN RIVER BRIDGE, LETHBRIDGE, AB, Canada",1,49.6956181,-112.8451067
"1 HW & SCENIC DR, LETHBRIDGE, AB, Canada",3,49.6800194,-112.8261731
"1 HW & STAFFORD DR, LETHBRIDGE, AB, Canada",3,49.7193656,-112.8325154
"1 HW, LETHBRIDGE, AB, Canada",1,49.6885645,-112.8456777
"1 IROQUOIS CR, LETHBRIDGE, AB, Canada",15,49.6831515,-112.8875294
"1 JERRY POTTS BD, LETHBRIDGE, AB, Canada",88,49.6789339,-112.885542
"1 JESSIE ROBINSON CL, LETHBRIDGE, AB, Canada",9,49.7300265,-112.8297976
"1 JESSIE URSENBACH WY, LETHBRIDGE, AB, Canada",2,49.7315915,-112.8326035
"1 KENSINGTON RD, LETHBRIDGE, AB, Canada",5,49.6847082,-112.9157709
"1 KEYSTONE TE, LETHBRIDGE, AB, Canada",67,49.6683681,-112.9134652
"1 KINGS CR, LETHBRIDGE, AB, Canada",21,49.6657164,-112.8153492
"1 KINGS GT, LETHBRIDGE, AB, Canada",1,49.6657164,-112.8153492
"1 KINGS PL, LETHBRIDGE, AB, Canada",2,49.66425419999999,-112.8144808
"1 KINGS RD, LETHBRIDGE, AB, Canada",8,49.6658169,-112.8162713
"1 KODIAK BD, LETHBRIDGE, AB, Canada",11,49.7288145,-112.8090877
"1 KODIAK CR, LETHBRIDGE, AB, Canada",10,49.7286513,-112.8070077
"1 KOOTENAY PL, LETHBRIDGE, AB, Canada",5,49.6836348,-112.891514
"1 LAFAYETTE BD, LETHBRIDGE, AB, Canada",36,49.6767013,-112.875648
"1 LAFAYETTE CR, LETHBRIDGE, AB, Canada",6,49.6788081,-112.8758675
"1 LAFAYETTE PL, LETHBRIDGE, AB, Canada",3,49.6764264,-112.8773662
"1 LAKHOTA CR, LETHBRIDGE, AB, Canada",10,49.6844378,-112.8978737
"1 LAKHOTA RD, LETHBRIDGE, AB, Canada",1,49.6860752,-112.8957148
"1 LARKSPUR RD, LETHBRIDGE, AB, Canada",1,49.7219843,-112.8038521
"1 LASALLE RD, LETHBRIDGE, AB, Canada",2,49.6878384,-112.9095712
"1 LAURENTIAN PL, LETHBRIDGE, AB, Canada",1,49.665346,-112.8733057
"1 LAVAL BD, LETHBRIDGE, AB, Canada",43,49.6655954,-112.8754943
"1 LAVAL CT, LETHBRIDGE, AB, Canada",26,49.6660221,-112.8760038
"1 LAVAL PL, LETHBRIDGE, AB, Canada",13,49.6663893,-112.8754439
"1 LAVAL RD, LETHBRIDGE, AB, Canada",9,49.668644,-112.8723628
"1 LEMOYNE CR, LETHBRIDGE, AB, Canada",57,49.6757549,-112.882456
"1 LETTICE PERRY PL, LETHBRIDGE, AB, Canada",12,49.7307887,-112.8261606
"1 LOYOLA PL, LETHBRIDGE, AB, Canada",2,49.6722662,-112.8731897
"1 LYNX PL, LETHBRIDGE, AB, Canada",14,49.73321019999999,-112.8108525
"1 LYNX RD, LETHBRIDGE, AB, Canada",16,49.7339468,-112.8076648
"1 MAURETANIA RD, LETHBRIDGE, AB, Canada",102,49.6707998,-112.9090726
"1 MCGILL BD, LETHBRIDGE, AB, Canada",66,49.6716924,-112.8692575
"1 MEADOWLARK BD, LETHBRIDGE, AB, Canada",57,49.7243657,-112.8095825
"1 MEADOWLARK PL, LETHBRIDGE, AB, Canada",6,49.72355839999999,-112.803157
"1 MICMAC BD, LETHBRIDGE, AB, Canada",106,49.6861331,-112.884923
"1 MICMAC CT, LETHBRIDGE, AB, Canada",2,49.6855784,-112.8859329
"1 MICMAC PL, LETHBRIDGE, AB, Canada",2,49.6855784,-112.8859329
"1 MODESTO RD, LETHBRIDGE, AB, Canada",12,49.6750208,-112.8792124
"1 MOHAWK RD, LETHBRIDGE, AB, Canada",35,49.6861297,-112.8879629
"1 MONTROSE WY, LETHBRIDGE, AB, Canada",3,49.6845507,-112.9218738
"1 MOONLIGHT BD, LETHBRIDGE, AB, Canada",4,49.6656093,-112.8965572
"1 MOUNT ROYAL PL, LETHBRIDGE, AB, Canada",20,49.6637026,-112.8805525
"1 MT ALDERSON CR, LETHBRIDGE, AB, Canada",21,49.6618202,-112.8750686
"1 MT BACKUS CR, LETHBRIDGE, AB, Canada",8,49.66140799999999,-112.8748499
"1 MT BLAKISTON PL, LETHBRIDGE, AB, Canada",4,49.6588033,-112.878998
"1 MT BLAKISTON RD, LETHBRIDGE, AB, Canada",40,49.6599902,-112.8717339
"1 MT BRAZEAU RD, LETHBRIDGE, AB, Canada",2,49.6602429,-112.8793924
"1 MT BURKE BD, LETHBRIDGE, AB, Canada",39,49.6621837,-112.8763746
"1 MT CRANDELL BY, LETHBRIDGE, AB, Canada",2,49.6609119,-112.8780119
"1 MT CRANDELL CR, LETHBRIDGE, AB, Canada",9,49.6609119,-112.8780119
