address,lat,lng,incidentCount
"300 6 ST, LETHBRIDGE, AB, Canada",49.695854,-112.838645,117
"1300 LAKEMOUNT BD, LETHBRIDGE, AB, Canada",49.679126,-112.7894772,117
"3700 2 AV, LETHBRIDGE, AB, Canada",49.7006656,-112.7871025,115
"600 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.67339399999999,-112.8917708,113
"400 12 ST, LETHBRIDGE, AB, Canada",49.704432,-112.8302753,112
"2300 13 ST, LETHBRIDGE, AB, Canada",49.7250078,-112.825161,111
"200 MCGILL BD, LETHBRIDGE, AB, Canada",49.666947,-112.8756146,110
"100 STAFFORD DR, LETHBRIDGE, AB, Canada",49.6975954,-112.8342054,109
"1400 9 AV, LETHBRIDGE, AB, Canada",49.6856973,-112.822353,107
"1 MICMAC BD, LETHBRIDGE, AB, Canada",49.6861331,-112.884923,106
"1300 23 AV, LETHBRIDGE, AB, Canada",49.7245518,-112.8234501,105
"100 ALGONQUIN RD, LETHBRIDGE, AB, Canada",49.6819291,-112.8824147,103
"1700 23 ST, LETHBRIDGE, AB, Canada",49.7199119,-112.8112381,103
"500 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6930843,-112.8101227,102
"1 MAURETANIA RD, LETHBRIDGE, AB, Canada",49.6707998,-112.9090726,102
"1400 ASHGROVE RD, LETHBRIDGE, AB, Canada",49.67801250000001,-112.7890276,101
"900 2 AV, LETHBRIDGE, AB, Canada",49.7007354,-112.8230618,101
"1200 2 AV, LETHBRIDGE, AB, Canada",49.7007355,-112.8230521,98
"1100 12B ST, LETHBRIDGE, AB, Canada",49.71508,-112.8274727,98
"2600 BLACKWOLF BD, LETHBRIDGE, AB, Canada",49.7384072,-112.8020445,95
"2600 SCENIC DR, LETHBRIDGE, AB, Canada",49.7274751,-112.830167,95
"200 12B ST, LETHBRIDGE, AB, Canada",49.6969565,-112.8261119,95
"2000 7 AV, LETHBRIDGE, AB, Canada",49.6892285,-112.812683,93
"1200 1 AV, LETHBRIDGE, AB, Canada",49.6980888,-112.8286927,92
"1 AQUITANIA BD, LETHBRIDGE, AB, Canada",49.67377219999999,-112.9028404,89
"400 SCENIC DR, LETHBRIDGE, AB, Canada",49.694253,-112.845172,89
"1 JERRY POTTS BD, LETHBRIDGE, AB, Canada",49.6789339,-112.885542,88
"1 COUGAR CV, LETHBRIDGE, AB, Canada",49.7334866,-112.8222595,88
"1000 27A ST, LETHBRIDGE, AB, Canada",49.7140195,-112.8024717,87
"2200 32 ST, LETHBRIDGE, AB, Canada",49.670554,-112.7945013,86
"200 SCENIC DR, LETHBRIDGE, AB, Canada",49.6985647,-112.8456248,85
"3000 COLLEGE DR, LETHBRIDGE, AB, Canada",49.66303809999999,-112.8089891,84
"400 8 ST, LETHBRIDGE, AB, Canada",49.6940924,-112.8356618,83
"200 BRITANNIA BD, LETHBRIDGE, AB, Canada",49.67328990000001,-112.9097205,83
"300 SCENIC DR, LETHBRIDGE, AB, Canada",49.6952639,-112.8451089,82
"1 PURDUE CT, LETHBRIDGE, AB, Canada",49.6749806,-112.8909804,82
"600 13 ST, LETHBRIDGE, AB, Canada",49.6914351,-112.8244255,82
"1 SIMON FRASER BD, LETHBRIDGE, AB, Canada",49.6666828,-112.8826493,81
"1700 ST EDWARD BD, LETHBRIDGE, AB, Canada",49.7208678,-112.8292556,81
"100 IROQUOIS CR, LETHBRIDGE, AB, Canada",49.6854216,-112.8896481,81
"4400 UNIVERSITY DR, LETHBRIDGE, AB, Canada",49.6708671,-112.8674331,81
"1200 9 AV, LETHBRIDGE, AB, Canada",49.6863803,-112.8282647,80
"1000 12 ST, LETHBRIDGE, AB, Canada",49.6836292,-112.82823,79
"200 SUNRIDGE RD, LETHBRIDGE, AB, Canada",49.6523232,-112.8698241,79
"700 2A AV, LETHBRIDGE, AB, Canada",49.7017274,-112.831368,78
"100 JERRY POTTS BD, LETHBRIDGE, AB, Canada",49.6809555,-112.8883998,77
"700 12B ST, LETHBRIDGE, AB, Canada",49.7093271,-112.8269188,77
"400 HIGHLANDS BD, LETHBRIDGE, AB, Canada",49.694434,-112.896108,77
"100 LAVAL BD, LETHBRIDGE, AB, Canada",49.6652969,-112.8727234,76
"300 UNIVERSITY DR, LETHBRIDGE, AB, Canada",49.70198329999999,-112.8931724,76
"1 MT RUNDLE BD, LETHBRIDGE, AB, Canada",49.6583492,-112.8719545,75
"200 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.6754353,-112.8760899,74
"1900 23 ST, LETHBRIDGE, AB, Canada",49.7220388,-112.810835,74
"1600 3 AV, LETHBRIDGE, AB, Canada",49.7026762,-112.8196765,73
"1700 16 AV, LETHBRIDGE, AB, Canada",49.6761789,-112.8180629,73
"1000 19 ST, LETHBRIDGE, AB, Canada",49.71397450000001,-112.8145269,73
"200 STAFFORD DR, LETHBRIDGE, AB, Canada",49.6971193,-112.8341389,73
"100 3 AV, LETHBRIDGE, AB, Canada",49.69519200000001,-112.8471251,71
"2700 FAIRWAY RD, LETHBRIDGE, AB, Canada",49.6684876,-112.7882897,70
"400 6 ST, LETHBRIDGE, AB, Canada",49.6940895,-112.8388833,69
"1300 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.67871239999999,-112.803859,69
"900 4 AV, LETHBRIDGE, AB, Canada",49.6941444,-112.8334221,69
"300 11 ST, LETHBRIDGE, AB, Canada",49.69586450000001,-112.8306654,68
"1 KEYSTONE TE, LETHBRIDGE, AB, Canada",49.6683681,-112.9134652,67
"1 MCGILL BD, LETHBRIDGE, AB, Canada",49.6716924,-112.8692575,66
"200 41 ST, LETHBRIDGE, AB, Canada",49.72146610000001,-112.7810752,66
"1600 15 AV, LETHBRIDGE, AB, Canada",49.6770936,-112.8195739,66
"900 COLUMBIA BD, LETHBRIDGE, AB, Canada",49.6648854,-112.8841815,65
"2700 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6678863,-112.7977472,65
"1000 24 ST, LETHBRIDGE, AB, Canada",49.71389629999999,-112.807302,65
"100 SUNRIDGE RD, LETHBRIDGE, AB, Canada",49.6523022,-112.8691036,64
"300 7A AV, LETHBRIDGE, AB, Canada",49.6881411,-112.8426924,64
"1200 29 ST, LETHBRIDGE, AB, Canada",49.679752,-112.7996966,63
"1700 15 AV, LETHBRIDGE, AB, Canada",49.6773362,-112.8184855,63
"2100 13 AV, LETHBRIDGE, AB, Canada",49.7164382,-112.8112522,63
"1000 3 AV, LETHBRIDGE, AB, Canada",49.7029834,-112.8331855,63
"2300 MAYOR MAGRATH DR, LETHBRIDGE, AB, Canada",49.6696252,-112.8014003,62
"700 7 AV, LETHBRIDGE, AB, Canada",49.6890286,-112.8364395,61
"300 12 ST, LETHBRIDGE, AB, Canada",49.7031226,-112.8298205,61
