ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
RM23051191,"03/02/2023, 5:59:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] Assist Others,Other,Assist Others
RM23051190,"03/02/2023, 5:59:00 PM","03/03/2023, 5:46:31 AM",LETHBRIDGE,AB,.,100 Block 1 AV, RMS] FOIP - Personal,Other,FOIP - Personal
P23009727,"03/02/2023, 5:47:12 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,700 Block 5 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P23009728,"03/02/2023, 6:00:02 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,800 Block 2A AV,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)",Other,"PUBLIC SERVICE (LOCK-OUT/LOCK-IN, PEACE, WELFARE, RECKLESS ACTIVITY)"
P23009729,"03/02/2023, 6:00:40 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,400 Block STAFFORD DR,PUBLIC SERVICE,Other,PUBLIC SERVICE
P23009730,"03/02/2023, 6:03:34 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,1100 Block 9 ST,HARASSMENT/STALKING/THREAT,Other,HARASSMENT/STALKING/THREAT
P23009732,"03/02/2023, 6:08:44 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,600 Block 5 ST,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P23009733,"03/02/2023, 6:12:26 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,200 Block 10 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P23009734,"03/02/2023, 6:24:45 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,400 Block STAFFORD DR,DRUGS,Quality of Life,DRUGS
P23009735,"03/02/2023, 6:29:08 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,600 Block 3 AV,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P23009736,"03/02/2023, 6:32:27 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,1200 Block 9 ST,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P23009720,"03/02/2023, 4:52:03 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,1000 Block 24 ST,TRESPASSING/UNWANTED,Quality of Life,TRESPASSING/UNWANTED
P23009721,"03/02/2023, 4:56:22 PM","03/03/2023, 5:45:31 AM",LETHBRIDGE,AB,.,1 Block ABERDEEN RD,FRAUD/DECEPTION,Other,FRAUD/DECEPTION
