ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
P22054121,"11/17/2022, 1:14:30 AM","11/17/2022, 3:36:09 PM",LETHBRIDGE,AB,.,200 Block 14 ST,DOMESTIC DISTURBANCE/VIOLENCE,Other,DOMESTIC DISTURBANCE/VIOLENCE
P22054122,"11/17/2022, 1:18:01 AM","11/17/2022, 3:36:10 PM",LETHBRIDGE,AB,.,700 Block BLACKFOOT TE,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P22054123,"11/17/2022, 1:27:19 AM","11/17/2022, 3:36:10 PM",LETHBRIDGE,AB,.,700 Block 5 AV,DRUGS,Quality of Life,DRUGS
P22054111,"11/16/2022, 11:37:57 PM","11/17/2022, 7:34:51 AM",LETHBRIDGE,AB,.,300 Block 5 ST,POLICE,Other,POLICE
P22054112,"11/16/2022, 11:40:12 PM","11/17/2022, 7:34:51 AM",LETHBRIDGE,AB,.,300 Block 5 ST,SUBJECT STOP,Proactive Policing,SUBJECT STOP
P22054113,"11/16/2022, 11:55:29 PM","11/17/2022, 7:34:51 AM",LETHBRIDGE,AB,.,1000 Block 12A ST,"ADMIN (LOST/FOUND PROPERTY, UNEXPLODED ORDNANCE, MESSAGES, TRANSPORTS)",Other,"ADMIN (LOST/FOUND PROPERTY, UNEXPLODED ORDNANCE, MESSAGES, TRANSPORTS)"
P22054106,"11/16/2022, 10:33:56 PM","11/17/2022, 7:34:57 AM",LETHBRIDGE,AB,.,100 Block 1 AV,SUPPLEMENTAL,Other,SUPPLEMENTAL
P22054107,"11/16/2022, 10:41:00 PM","11/17/2022, 7:34:57 AM",LETHBRIDGE,AB,.,300 Block 19 ST,ALARMS,Other,ALARMS
P22054108,"11/16/2022, 10:44:27 PM","11/17/2022, 7:34:57 AM",LETHBRIDGE,AB,.,1 Block AQUITANIA BD,THEFT (LARCENY),Theft,THEFT (LARCENY)
P22054109,"11/16/2022, 10:50:17 PM","11/17/2022, 7:34:57 AM",LETHBRIDGE,AB,.,1900 Block 23 ST,DISTURBANCE/NUISANCE,Quality of Life,DISTURBANCE/NUISANCE
P22054110,"11/16/2022, 11:21:09 PM","11/17/2022, 7:34:57 AM",LETHBRIDGE,AB,.,1700 Block ST EDWARD BD,TRAFFIC VIOLATION/COMPLAINT/HAZARD,Proactive Policing,TRAFFIC VIOLATION/COMPLAINT/HAZARD
P22054096,"11/16/2022, 9:07:23 PM","11/17/2022, 7:34:55 AM",LETHBRIDGE,AB,.,4500 Block 28 AV,THEFT (LARCENY),Theft,THEFT (LARCENY)
P22054100,"11/16/2022, 9:34:24 PM","11/17/2022, 7:34:56 AM",LETHBRIDGE,AB,.,200 Block 10 ST,PUBLIC SERVICE,Other,PUBLIC SERVICE
P22054101,"11/16/2022, 9:37:12 PM","11/17/2022, 7:34:56 AM",LETHBRIDGE,AB,.,200 Block 3 AV,ASSIST OTHER AGENCIES,Other,ASSIST OTHER AGENCIES
